comment,label
You're such a loser.,1
Great work on the project!,0
Idiot, what were you thinking?,1
Looking forward to more updates.,0
You're disgusting and pathetic.,1
Well done and keep going!,0
You make me sick.,1
Happy to help anytime.,0
Don't ever show your face again.,1
That really helped me a lot.,0
You're worthless.,1
Nice explanation. Thanks!,0
Get lost, moron.,1
Excellent presentation.,0
Nobody likes you.,1
You're very supportive.,0
You're such a pain.,1
That's very insightful.,0
Shut up!,1
You always spread positivity.,0
You're annoying as hell.,1
Loved the way you explained it.,0
This is trash.,1
Thanks for always being helpful.,0
I can't stand you.,1
Appreciate your hard work.,0
You make everything worse.,1
Keep up the great attitude!,0
Why are you so dumb?,1
You're one of the kindest people.,0
You suck at everything.,1
You're great at what you do!,0
Such a garbage post.,1
That advice was really helpful.,0
I hope you fail.,1
You inspire me.,0
I never want to see you again.,1
That made my day better.,0
You're terrible.,1
You always bring light to others.,0
Go to hell.,1
Your work is really appreciated.,0
Loser!,1
Thanks for the encouragement!,0
You're so bad at this.,1
You're such a wonderful person.,0
Get a life, jerk!,1
Always happy to learn from you.,0
You're such a clown.,1
You're a great friend.,0
You're a total disaster.,1
That helped me a lot today.,0
I hate seeing your face.,1
You're always so generous.,0
Nobody wants you here.,1
Your kindness means a lot.,0
You fool!,1
You're very thoughtful.,0
Just go away, nobody likes you.,1
That was really inspiring.,0
You're toxic.,1
Always love your energy!,0
This is the worst thing ever.,1
Really grateful for your feedback.,0
You're dumb.,1
I'm glad you're part of this team.,0
Why do you even try?,1
You're always motivating.,0
This is complete nonsense.,1
I really admire your mindset.,0
You're hopeless.,1
You've been so helpful.,0
You're a disaster.,1
That was a great post!,0
Shut your mouth.,1
You're full of good vibes!,0
Worst person ever.,1
Keep shining!,0
So irritating.,1
You're incredibly thoughtful.,0
Such a stupid idea.,1
Thank you for being awesome!,0
You're trash.,1
I'm lucky to know you.,0
You're a piece of garbage.,1
Thanks a lot for explaining.,0
Can't believe how bad you are.,1
You always make things clear.,0
Just leave already.,1
Your presence is uplifting.,0
Useless idiot.,1
Thanks again for this help.,0
You're the reason for all this mess.,1
Love your dedication.,0
No one wants to hear from you.,1
You always go above and beyond.,0
You ruin everything.,1
I appreciate your efforts.,0
You're pathetic.,1
Your ideas are amazing!,0
Worst advice ever.,1
Thanks for guiding us.,0
